ID Data;Fecha;ID Nombre Campaña;ID Categoría;ID Medio;ID Campaña;Impresiones;Inversión en Marketing;Clics;Suscripciones;Ventas;Ingresos
163;2/15/2021;9;1;4;544756;1093435;6587.76;8402;4;1;741
164;2/15/2021;10;3;2;374754;2100700;82452.00;21007;122;24;103392
165;2/15/2021;11;4;5;39889;8747458;543275.00;29390;1061;171;809685
166;2/16/2021;1;1;4;349043;3839000;393027.00;19195;384;64;336448
167;2/16/2021;2;1;4;348934;5280000;595176.00;26400;923;80;392160
168;2/16/2021;3;2;3;89459845;373184;102053.00;7198;144;22;185482
169;2/16/2021;4;2;3;127823;3841400;271906.00;19207;666;67;199727
170;2/16/2021;5;3;1;10934;4371118;221258.00;35999;720;128;1021570
171;2/16/2021;6;1;2;9034945;4319200;143680.00;21596;432;34;171972
172;2/16/2021;7;1;2;983498;15988504;103731.00;40794;816;24;41424
173;2/16/2021;8;1;4;4387490;80233;31712.00;2407;48;12;59772
174;2/16/2021;9;1;4;544756;1576818;345629.00;9597;292;39;25857
175;2/16/2021;10;3;2;374754;3937010;620903.00;23994;833;160;939360
176;2/16/2021;11;4;5;39889;56876855;206424.00;33592;416;62;246822
177;2/17/2021;1;1;4;349043;4320600;489831.00;21603;652;86;428366
178;2/17/2021;2;1;4;348934;6102420;403691.00;29704;594;61;303841
179;2/17/2021;3;2;3;89459845;490058;116213.00;8104;162;31;227726
180;2/17/2021;4;2;3;127823;4319200;180223.00;21596;442;44;136708
181;2/17/2021;5;3;1;10934;4049400;363811.00;40494;746;149;1189170
182;2/17/2021;6;1;2;9034945;4999407;246023.00;24294;606;73;496546
183;2/17/2021;7;1;2;983498;32964848;162819.00;45907;974;46;121900
184;2/17/2021;8;1;4;4387490;84332;31422.50;2698;54;11;45441
185;2/17/2021;9;1;4;544756;1361187;291254.00;10810;216;32;31392
186;2/17/2021;10;3;2;374754;2795511;462606.00;26990;795;119;592739
187;2/17/2021;11;4;5;39889;16553044;523398.00;37805;756;142;565302
188;2/18/2021;1;1;4;349043;4798200;30892.20;23991;61;6;25686
189;2/18/2021;2;1;4;348934;4678356;373294.00;33003;1313;51;237711
190;2/18/2021;3;2;3;89459845;527210;119542.00;9004;162;28;214368
191;2/18/2021;4;2;3;127823;10593685;200986.00;24005;480;43;93353
192;2/18/2021;5;3;1;10934;4064081;86522.90;45004;144;31;256897
193;2/18/2021;6;1;2;9034945;11212959;241388.00;27009;599;72;430632
194;2/18/2021;7;1;2;983498;13281923;58596.40;51000;1020;16;36016
195;2/18/2021;8;1;4;4387490;97885;17176.70;2991;28;6;33930
196;2/18/2021;9;1;4;544756;1181224;171831.00;11991;128;19;17917
197;2/18/2021;10;3;2;374754;2482796;518530.00;30000;1032;134;796630
198;2/18/2021;11;4;5;39889;419970000;339735.00;41997;840;114;516420
199;2/19/2021;1;1;4;349043;15345139;53253.90;26407;71;10;44550
200;2/19/2021;2;1;4;348934;7260800;415376.00;36304;726;58;288898
201;2/19/2021;3;2;3;89459845;413291;9777.55;9904;14;2;15962
202;2/19/2021;4;2;3;127823;8455475;81623.50;26406;281;20;72300
203;2/19/2021;5;3;1;10934;3801165;880357.00;49510;1666;369;2812520
204;2/19/2021;6;1;2;9034945;6168252;300775.00;29699;1082;96;574176
205;2/19/2021;7;1;2;983498;11222000;9908.98;56110;185;3;3621
206;2/19/2021;8;1;4;4387490;115166;3173.41;3297;7;1;5199
207;2/19/2021;9;1;4;544756;1320200;440355.00;13202;264;45;80325
208;2/19/2021;10;3;2;374754;3299900;404285.00;32999;694;104;519272
209;2/19/2021;11;4;5;39889;19065489;492126.00;46209;924;139;556417
210;2/20/2021;1;1;4;349043;9916906;56874.20;28796;88;12;59772
211;2/20/2021;2;1;4;348934;7918600;455831.00;39593;853;68;387124
212;2/20/2021;3;2;3;89459845;540450;190469.00;10809;359;47;365378
213;2/20/2021;4;2;3;127823;5762000;435770.00;28810;732;96;253440
214;2/20/2021;5;3;1;10934;5399300;303860.00;53993;1094;182;1452540
215;2/20/2021;6;1;2;9034945;7669421;404737.00;32395;1003;139;847066
216;2/20/2021;7;1;2;983498;12239000;150065.00;61195;1224;48;73392
217;2/20/2021;8;1;4;4387490;111784;73587.50;3594;116;24;119544
218;2/20/2021;9;1;4;544756;1118531;173041.00;14399;113;18;17658
219;2/20/2021;10;3;2;374754;5497354;504576.00;35994;822;137;682397
220;2/20/2021;11;4;5;39889;26012342;750361.00;50408;1678;252;1003210
221;2/21/2021;1;1;4;349043;478600;38596.70;2393;66;7;31094
222;2/21/2021;2;1;4;348934;543787;39481.00;3299;113;6;29538
223;2/21/2021;3;2;3;89459845;49655;9444.12;907;18;2;15962
224;2/21/2021;4;2;3;127823;478400;17476.20;2392;48;5;12910
225;2/21/2021;5;3;1;10934;713896;30801.00;4507;90;20;159620
226;2/21/2021;6;1;2;9034945;555915;29457.50;2709;60;10;55540
227;2/21/2021;7;1;2;983498;781353;12503.50;5104;102;4;7924
228;2/21/2021;8;1;4;4387490;10812;1555.96;296;3;1;3993
229;2/21/2021;9;1;4;544756;119400;32169.90;1194;24;4;3924
230;2/21/2021;10;3;2;374754;300900;65006.30;3009;89;17;84677
231;2/21/2021;11;4;5;39889;42080000;25023.20;4208;67;10;31710
232;2/22/2021;1;1;4;349043;605386;59710.00;4802;96;12;67632
233;2/22/2021;2;1;4;348934;2090371;95536.20;6606;132;14;69734
234;2/22/2021;3;2;3;89459845;90500;30645.40;1810;65;7;59045
235;2/22/2021;4;2;3;127823;959600;12348.30;4798;39;4;11924
236;2/22/2021;5;3;1;10934;757387;77803.80;8997;180;42;359394
237;2/22/2021;6;1;2;9034945;4565811;33474.70;5397;108;9;53829
238;2/22/2021;7;1;2;983498;2190892;19196.60;10202;124;7;14602
239;2/22/2021;8;1;4;4387490;17821;5792.48;598;12;3;12168
240;2/22/2021;9;1;4;544756;239600;51783.30;2396;48;6;5886
241;2/22/2021;10;3;2;374754;599700;137382.00;5997;236;35;158340
242;2/22/2021;11;4;5;39889;105873774;60021.60;8409;168;20;80600
243;2/23/2021;1;1;4;349043;924525;9858.28;1203;28;2;9962
244;2/23/2021;2;1;4;348934;475992;19350.00;1641;37;3;12225
245;2/23/2021;3;2;3;89459845;22175;5409.21;442;9;2;15050
246;2/23/2021;4;2;3;127823;241000;12581.60;1205;24;3;8943
247;2/23/2021;5;3;1;10934;297609;16343.00;2246;45;8;63848
248;2/23/2021;6;1;2;9034945;536236;557.25;1349;1;0;0
249;2/23/2021;7;1;2;983498;512000;4285.44;2560;51;2;2934
250;2/23/2021;8;1;4;4387490;4908;1238.09;155;3;1;5265
251;2/23/2021;9;1;4;544756;60800;16078.60;608;12;2;2720
252;2/23/2021;10;3;2;374754;117218;15435.00;1500;31;4;17816
253;2/23/2021;11;4;5;39889;654544;16706.40;2099;42;6;23886
254;2/24/2021;1;1;4;349043;479596;94564.20;2408;93;15;81825
255;2/24/2021;2;1;4;348934;395127;44347.20;3297;66;7;34867
256;2/24/2021;3;2;3;89459845;45150;14306.20;903;18;3;23943
257;2/24/2021;4;2;3;127823;291441;22357.60;2408;52;5;19060
258;2/24/2021;5;3;1;10934;409320;22944.30;4508;65;14;111734
259;2/24/2021;6;1;2;9034945;869482;23908.40;2703;42;7;36456
260;2/24/2021;7;1;2;983498;624157;18675.00;5098;122;6;10590
261;2/24/2021;8;1;4;4387490;8966;2857.10;297;6;1;4981
262;2/24/2021;9;1;4;544756;148794;48796.60;1196;38;6;8178
263;2/24/2021;10;3;2;374754;355802;42311.50;2990;60;9;44829
264;2/24/2021;11;4;5;39889;2770687;34169.90;4205;84;16;63696
265;2/25/2021;1;1;4;349043;94600;11230.20;473;15;2;10104
266;2/25/2021;2;1;4;348934;131400;10357.00;657;13;2;9962
267;2/25/2021;3;2;3;89459845;8750;1078.73;175;1;0;0
268;2/25/2021;4;2;3;127823;61867;9472.22;487;19;2;5730
269;2/25/2021;5;3;1;10934;94976;9034.91;904;22;5;38030
270;2/25/2021;6;1;2;9034945;106000;2304.01;530;6;1;5981
271;2/25/2021;7;1;2;983498;115468;2059.03;1015;20;1;1981
272;2/25/2021;8;1;4;4387490;2214;1487.47;66;3;1;4461
273;2/25/2021;9;1;4;544756;25000;5871.29;250;5;1;981
274;2/25/2021;10;3;2;374754;46753;6227.53;591;12;2;10130
275;2/25/2021;11;4;5;39889;2885291;7583.66;848;17;3;11943
276;2/26/2021;1;1;4;349043;168408;19887.70;1207;39;4;22488
277;2/26/2021;2;1;4;348934;438858;17935.40;1657;33;3;15345
278;2/26/2021;3;2;3;89459845;22450;1545.74;449;2;0;0
279;2/26/2021;4;2;3;127823;240600;4453.10;1203;11;1;2283
280;2/26/2021;5;3;1;10934;195016;38804.20;2247;82;16;127696
281;2/26/2021;6;1;2;9034945;174375;12592.40;1342;27;4;26556
282;2/26/2021;7;1;2;983498;508600;2403.54;2543;73;1;1981
283;2/26/2021;8;1;4;4387490;4906;1071.16;143;3;1;4981
284;2/26/2021;9;1;4;544756;55269;315.92;610;0;0;0
285;2/26/2021;10;3;2;374754;192489;15596.00;1497;34;5;25205
286;2/26/2021;11;4;5;39889;20930000;8087.73;2093;22;3;12213
287;2/27/2021;1;1;4;349043;213771;5003.33;241;9;1;4223
288;2/27/2021;2;1;4;348934;66400;3235.77;332;13;0;0
289;2/27/2021;3;2;3;89459845;4662;1754.25;83;2;0;0
290;2/27/2021;4;2;3;127823;40004;1487.24;243;5;0;0
291;2/27/2021;5;3;1;10934;44000;5721.83;440;15;3;23943
292;2/27/2021;6;1;2;9034945;44112;1832.16;275;6;1;5981
293;2/27/2021;7;1;2;983498;78799;254.14;503;3;0;0
294;2/27/2021;8;1;4;4387490;667;200.42;20;0;0;0
295;2/27/2021;9;1;4;544756;13693;3098.45;115;2;0;0
296;2/27/2021;10;3;2;374754;24018;3524.08;298;6;1;4661
297;2/27/2021;11;4;5;39889;182546;2791.06;426;9;1;3981
298;2/28/2021;1;1;4;349043;97200;6440.50;486;11;1;4981
299;2/28/2021;2;1;4;348934;132200;8665.55;661;13;1;5509
300;2/28/2021;3;2;3;89459845;11554;3529.73;187;5;1;8714
301;2/28/2021;4;2;3;127823;55625;384.75;487;1;0;0
302;2/28/2021;5;3;1;10934;129025;9892.77;909;21;5;37450
303;2/28/2021;6;1;2;9034945;63566;4950.74;546;12;1;5981
304;2/28/2021;7;1;2;983498;775780;760.75;1024;4;0;0
305;2/28/2021;8;1;4;4387490;1933;224.81;58;0;0;0
306;2/28/2021;9;1;4;544756;25840;6844.80;248;5;1;1491
307;2/28/2021;10;3;2;374754;94058;4845.65;594;12;1;5008
308;2/28/2021;11;4;5;39889;8490000;6822.62;849;18;2;7030
